epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.437,1.69253,2.24601,1.59287,0.56679,0.45363,0.46364,0.22996,1.60871,4.29335,1.45544,0.070068,0.00332577,0.00332577
2,514.09,1.61535,1.67703,1.47948,0.56112,0.46486,0.48794,0.23436,1.60781,7.94804,1.49926,0.0400664,0.00665747,0.00665747
3,767.111,1.69417,1.78836,1.54756,0.45578,0.36699,0.33439,0.14309,1.8968,4.78143,1.68283,0.0100582,0.00998259,0.00998259
4,1020.19,1.77529,1.92019,1.62932,0.43083,0.40103,0.3589,0.15601,1.81269,4.67671,1.59239,0.00997783,0.00997783,0.00997783
5,1273.04,1.72995,1.80759,1.5941,0.49671,0.44097,0.43178,0.19682,1.69739,4.85885,1.49185,0.00996061,0.00996061,0.00996061
6,1526.15,1.68131,1.71039,1.56306,0.60876,0.51373,0.55326,0.26848,1.58907,3.04037,1.44988,0.0099385,0.0099385,0.0099385
7,1779.08,1.65599,1.66426,1.54215,0.61316,0.53209,0.56831,0.28581,1.56989,3.86577,1.45751,0.00991152,0.00991152,0.00991152
8,2031.94,1.6094,1.5674,1.50656,0.63606,0.52234,0.5755,0.2868,1.58195,2.33633,1.46894,0.0098797,0.0098797,0.0098797
9,2284.77,1.59749,1.56875,1.50208,0.65555,0.56148,0.61836,0.32426,1.49172,2.15007,1.38353,0.00984307,0.00984307,0.00984307
10,2538.16,1.58391,1.52868,1.49268,0.64518,0.56339,0.61325,0.32005,1.49422,4.25756,1.39451,0.00980167,0.00980167,0.00980167
11,2791.14,1.55739,1.48326,1.46612,0.66762,0.59052,0.64621,0.34674,1.44126,2.65074,1.36062,0.00975553,0.00975553,0.00975553
12,3044.03,1.53875,1.45533,1.46082,0.66041,0.55561,0.60542,0.32113,1.49283,2.71974,1.41691,0.0097047,0.0097047,0.0097047
13,3296.6,1.54529,1.45241,1.45867,0.67402,0.58904,0.65599,0.34387,1.47207,2.2993,1.36086,0.00964923,0.00964923,0.00964923
14,3548.93,1.52442,1.42487,1.44765,0.67859,0.609,0.66737,0.36361,1.42057,2.13724,1.32596,0.00958918,0.00958918,0.00958918
15,3801.6,1.51015,1.38419,1.43439,0.67111,0.60579,0.66107,0.36039,1.44186,2.13336,1.37248,0.00952461,0.00952461,0.00952461
